Angola,,
Argentina,,
Australia,,
Brazil,,
Costa_Rica,,
Croatia,,
Czech_Republic,,
Ecuador,,
England,,
France,,
Germany,,
Ghana,,
Iran,,
Italy,,
Ivory_Coast,,
Japan,,
Mexico,,
Netherlands,,
Paraguay,,
Poland,,
Portugal,,
Saudi_Arabia,,
Serbia_Montenegro,,
South_Korea,,
Spain,,
Sweden,,
Switzerland,,
Togo,,
Trinidad_Tobago,,
Tunisia,,
Ukraine,,
USA,,
EINDE
Germany,Costa_Rica,1
Poland,Ecuador,0
Germany,Poland,1
Ecuador,Costa_Rica,1
Ecuador,Germany,0
Costa_Rica,Poland,0
England,Paraguay,1
Trinidad_Tobago,Sweden,0.5
England,Trinidad_Tobago,1
Sweden,Paraguay,1
Sweden,England,0.5
Paraguay,Trinidad_Tobago,1
Argentina,Ivory_Coast,1
Serbia_Montenegro,Netherlands,0
Argentina,Serbia_Montenegro,1
Netherlands,Ivory_Coast,1
Netherlands,Argentina,0.5
Ivory_Coast,Serbia_Montenegro,1
Mexico,Iran,1
Angola,Portugal,0
Mexico,Angola,0.5
Portugal,Iran,1
Portugal,Mexico,1
Iran,Angola,0.5
USA,Czech_Republic,0
Italy,Ghana,1
Czech_Republic,Ghana,0
Italy,USA,0.5
Czech_Republic,Italy,0
Ghana,USA,1
Australia,Japan,1
Brazil,Croatia,1
Japan,Croatia,0.5
Brazil,Australia,1
Japan,Brazil,0
Croatia,Australia,0.5
South_Korea,Togo,1
France,Switzerland,0.5
France,South_Korea,0.5
Togo,Switzerland,0
Togo,France,0
Switzerland,South_Korea,1
Spain,Ukraine,1
Tunisia,Saudi_Arabia,0.5
Saudi_Arabia,Ukraine,0
Spain,Tunisia,1
Saudi_Arabia,Spain,0
Ukraine,Tunisia,1
Germany,Sweden,1
Argentina,Mexico,1
Italy,Australia,1
Switzerland,Ukraine,0
England,Ecuador,1
Portugal,Netherlands,1
Brazil,Ghana,1
Spain,France,0
Germany,Argentina,1
Italy,Ukraine,1
England,Portugal,0
Brazil,France,0
Germany,Italy,0
Portugal,France,0
Italy,France,1
Germany,Portugal,1
